GEN,BEZ,EWZ,AdmUnitId,Region_Prefix,Region
Flensburg,Kreisfreie Stadt,90164,1001,SK ,SK Flensburg
Kiel,Kreisfreie Stadt,246794,1002,SK ,SK Kiel
Lübeck,Kreisfreie Stadt,216530,1003,SK ,SK Lübeck
Neumünster,Kreisfreie Stadt,80196,1004,SK ,SK Neumünster
Dithmarschen,Kreis,133193,1051,SK ,SK Dithmarschen
Herzogtum Lauenburg,Kreis,198019,1053,SK ,SK Herzogtum Lauenburg
Nordfriesland,Kreis,165951,1054,SK ,SK Nordfriesland
Ostholstein,Kreis,200539,1055,SK ,SK Ostholstein
Pinneberg,Kreis,316103,1056,SK ,SK Pinneberg
Plön,Kreis,128686,1057,SK ,SK Plön
Rendsburg-Eckernförde,Kreis,274098,1058,SK ,SK Rendsburg-Eckernförde
Schleswig-Flensburg,Kreis,201156,1059,SK ,SK Schleswig-Flensburg
Segeberg,Kreis,277175,1060,SK ,SK Segeberg
Steinburg,Kreis,131013,1061,SK ,SK Steinburg
Stormarn,Kreis,244156,1062,SK ,SK Stormarn
Hamburg,Kreisfreie Stadt,1847253,2000,SK ,SK Hamburg
Braunschweig,Kreisfreie Stadt,249406,3101,SK ,SK Braunschweig
Salzgitter,Kreisfreie Stadt,104291,3102,SK ,SK Salzgitter
Wolfsburg,Kreisfreie Stadt,124371,3103,SK ,SK Wolfsburg
Gifhorn,Landkreis,176523,3151,LK ,LK Gifhorn
Goslar,Landkreis,136292,3153,LK ,LK Goslar
Helmstedt,Landkreis,91297,3154,LK ,LK Helmstedt
Northeim,Landkreis,132285,3155,LK ,LK Northeim
Peine,Landkreis,134801,3157,LK ,LK Peine
Wolfenbüttel,Landkreis,119622,3158,LK ,LK Wolfenbüttel
Göttingen,Landkreis,326041,3159,LK ,LK Göttingen
Region Hannover,Landkreis,1157115,3241,LK ,LK Region Hannover
Diepholz,Landkreis,217089,3251,LK ,LK Diepholz
Hameln-Pyrmont,Landkreis,148549,3252,LK ,LK Hameln-Pyrmont
Hildesheim,Landkreis,275817,3254,LK ,LK Hildesheim
